MVMinusBV,Portfolio_Name,Issuer_Name,Asset_Name,Position_ID,Commitment,Outstanding,BookValue,BVPrice,MarketValue,MarkPrice_MarkPrice,Asset_AssetDetail_Type,MVParity,CurrencyType_Identifier,Quantity,Asset_Primary IDAssetID_Name
"-67564.8488217308","PennantPark Credit Opportunities Fund IV Aggregator, LP","Azureon, LLC (f/k/a TPCN MIDCO, LLC)","First Lien - DDTL - DDTL","1376454","2937602.12268396","2937602.1227","2937602.1227","100","2870037.27387827","97.7","4","28700.3727387827","USD","2937602.12268396","LX237963"
"-13337.7","PennantPark Credit Opportunities Fund IV Aggregator, LP","Azureon, LLC (f/k/a TPCN MIDCO, LLC)","First Lien - Revolver - Revolver","1376450","579900","231960","231960","100","218622.3","97.7","4","2186.223","USD","579900","LX237964"
"-21858.0722891567","PennantPark Credit Opportunities Fund IV Aggregator, LP","Azureon, LLC (f/k/a TPCN MIDCO, LLC)","First Lien - Term Loan - Term Loan","1376446","1980000","1980000","1956318.07228916","98.8039430449069","1934460","97.7","4","19344.6","USD","1980000","LX237961"
"3358.14763025008","PennantPark Credit Opportunities Fund IV Aggregator, LP","BEACON BEHAVIORAL HOLDINGS LLC","Unsecured - Term Loan - HoldCo","1376409","5010237.268011","5010237.2679","4956776.74758964","98.932974279448","4960134.89521989","99","4","49601.3489521989","USD","5010237.268011","LX237493"
"-12194.2272867518","PennantPark Credit Opportunities Fund IV Aggregator, LP","Beacon Behavioral Support Services, LLC ","Closing Date Delayed Draw Term Loan","1376405","1219422.72867519","1219422.7286","1219422.7286","100","1207228.50131325","99","4","12072.2850131325","USD","1219422.72867519","LX237495"
"-15121.8411731683","PennantPark Credit Opportunities Fund IV Aggregator, LP","Beacon Behavioral Support Services, LLC ","First Amendment Delayed Draw Term Loan","1377876","1512184.11731683","744501.8436","744501.8436","100","729380.002426832","99","4","7293.80002426832","USD","1512184.11731683","LX257658"
"-2084.02969999998","PennantPark Credit Opportunities Fund IV Aggregator, LP","Beacon Behavioral Support Services, LLC ","Revolver","1376401","208402.97","156302.2275","156302.2275","100","154218.1978","99","4","1542.181978","USD","208402.97","LX237497"
"5700.9036144577","PennantPark Credit Opportunities Fund IV Aggregator, LP","Beacon Behavioral Support Services, LLC ","Term Loan","1376397","2970000","2970000","2934599.09638554","98.8080503833516","2940300","99","4","29403","USD","2970000","LX237494"
"-20000","PennantPark Credit Opportunities Fund IV Aggregator, LP","Berwick Industrial Park","First Lien TL","1376017","1000000","1000000","1000000","100","980000","98","4","9800","USD","1000000","1588"
"-9646.24999999998","PennantPark Credit Opportunities Fund IV Aggregator, LP","Best Practice Associates, LLC","First Lien - Revolver","1377636","771700","0","0","100","-9646.24999999998","98.75","4","-96.4624999999998","USD","771700","LX253834"
